Fecha;pm25;so2;ws;wd
170101;19,619;5,48423;2,915018292;215,0075583
170102;14,825;4,75079;2,81531175;196,1771792
170103;21,6757;12,4994;3,671521625;197,487325
170104;22,9389;6,23315;2,684813667;222,1770458
170105;14,0449;3,96242;2,248222458;167,4531113
170106;9,81761;4,01659;2,554521458;176,7654958
170107;13,0738;4,06259;2,1043255;202,8991542
170108;10,534;4,95622;1,977481458;177,3660875
170109;9,5956;5,73539;2,361937667;181,4500583
170110;9,06479;4,5586;2,432301417;203,346775
170111;13,0392;4,1342;2,249132125;188,9585633
170112;12,1162;3,81654;2,433006542;163,2814042
170113;12,8023;4,07427;1,668357196;138,3880333
170114;15,7704;4,17561;2,99887725;187,6513708
170115;12,7587;4,10551;2,566157917;173,5782317
170116;10,7963;4,11366;2,395779917;165,18205
170117;16,1902;6,13393;2,141766042;154,9639958
170118;15,5264;3,67236;1,954260042;175,8003042
170119;12,9012;3,49;2,039386667;147,3805125
170120;15,4751;3,47492;1,276005417;158,6264833
170121;25,6758;5,69094;1,438879083;171,9031917
170122;20,2624;4,91103;1,741722208;206,4801917
170123;24,7037;15,8192;2,022907458;204,0498167
170124;23,9579;5,40575;2,183708458;186,8679088
170125;24,2742;3,80204;1,673772833;144,4482917
170126;22,8324;3,6401;1,568764875;118,6981625
170127;23,2271;5,03961;2,256369792;184,5136792
170128;28,3372;3,67825;1,769889458;189,4165417
170129;28,6151;5,07838;1,631098542;265,1032917
170130;27,1014;6,06539;1,885917042;210,3793958
170131;25,3866;3,72034;2,288484958;159,377275
170201;25,7032;3,92804;1,776618792;220,1677533
170202;23,8384;7,31339;2,499137825;180,1396625
170203;6,50846;5,31477;2,095466917;211,315275
170204;8,79712;5,52352;2,374091458;202,44445
170205;17,9264;4,69659;2,704588083;149,6071713
170206;13,552;4,05061;2,191286667;150,1743083
170207;13,1571;4,85835;2,4527355;176,5402542
170208;13,5933;18,2039;2,799163167;215,1968333
170209;13,6246;7,5392;2,366286708;189,2223083
170210;16,3285;4,45025;1,927117708;189,1760125
170211;16,4419;5,25896;1,889975875;212,8964167
170212;21,4104;29,349;1,330234192;205,9469458
170213;15,4658;2,96621;1,514456667;194,1183417
170214;14,9719;3,45286;1,756936625;204,97955
170215;12,7987;4,56844;1,962155542;178,6234417
170216;11,1738;4,72953;2,307245375;165,5569313
170217;15,2259;4,84769;2,150725458;181,3145125
170218;19,6569;11,5037;2,341878125;193,6089489
170219;19,3874;4,58814;2,289266375;186,9068333
170220;12,2294;3,26876;1,707550542;143,1774917
170221;11,1963;3,28862;0,931273904;160,813
170222;16,4856;3,13071;1,930282833;151,1295554
170223;5,4366;2,88641;1,838169292;204,8417208
170224;6,57083;3,87981;1,105335867;200,8264875
170225;6,38905;5,01649;1,45780075;203,1491208
170226;11,4355;4,54987;1,400519129;215,5091458
170227;11,4426;5,27029;1,663541458;175,4165625
170228;8,64091;6,35831;1,888897967;191,6319875
170301;8,54288;3,5849;2,123755625;165,1445083
170302;12,0066;5,47418;2,23765;188,3318542
170303;11,6687;3,71213;2,444975167;187,7303917
170304;12,7658;7,9253;2,329527958;193,4650333
170305;12,3728;4,3828;2,186291167;184,4612167
170306;10,628;5,65192;2,288730925;158,8392
170307;9,88217;5,25003;1,586812246;176,3440542
170308;11,8908;6,05046;2,074322042;173,9338917
170309;8,63916;11,0662;3,751132013;175,4078417
170310;15,3951;6,64618;2,682669375;170,3068504
170311;16,6283;8,34637;3,046854833;181,6876917
170312;16,7367;7,58733;2,34067625;129,8036512
170313;13,2729;3,48704;1,851439167;161,5758
170314;7,52484;3,44007;1,734903042;142,5266833
170315;10,0314;4,23771;1,643525833;176,0778488
170316;11,8705;4,80268;1,203611125;182,6166183
170317;12,0851;8,11183;1,552513554;217,3651625
170318;15,6552;5,79496;1,969746708;147,9606583
170319;14,9428;5,50637;1,977387725;172,6018425
170320;16,7664;4,12691;1,55694575;151,9716917
170321;9,23897;3,95191;1,742267167;150,3464667
170322;12,4296;6,39615;1,4869925;246,571625
170323;10,2661;3,30766;0,944385504;188,4594292
170324;10,5136;1,84196;1,468813708;170,274825
170325;8,50174;2,57301;1,669079125;172,2661
170326;10,7021;4,74089;2,3282495;158,8174625
170327;6,88538;3,69532;2,553109875;140,167525
170328;8,41573;3,50618;2,149015542;161,1471458
170329;8,70822;3,58783;2,049068208;173,3609
170330;9,63492;5,11946;2,10835775;166,6479
170331;8,89972;4,92113;2,24359175;163,9039375
170401;11,7549;3,43574;1,652268333;160,8937083
170402;10,5401;6,66748;2,717852529;190,0861
170403;8,53792;3,33219;1,895154542;151,7033833
170404;10,33;3,68148;1,736623208;158,2592917
170405;13,8884;6,13728;1,88614375;167,3548542
170406;12,2419;6,87837;1,556116838;161,4849542
170407;8,9736;4,03317;2,002554833;176,586845
170408;8,15887;5,71836;2,221944792;188,487725
170409;11,2411;5,81364;1,793179208;161,2706033
170410;10,2039;4,95783;1,803295708;147,1398
170411;10,6542;2,34958;0,67677125;142,6927875
170412;10,5755;2,29218;1,275904583;134,0328208
170413;12,9052;3,5684;1,251866671;156,6858542
170414;16,1609;5,27103;1,789152917;170,2077375
170415;23,62;4,8661;0,903947;178,2319671
170416;20,2914;4,17175;0,989629213;176,0938833
170417;15,8494;9,55003;1,246266833;227,15695
170418;14,5815;4,31857;1,349141963;170,8177463
170419;10,2437;4,54938;1,178665538;161,6352654
170420;5,90702;7,65601;1,321123429;185,8459917
170421;15,2186;11,1656;1,673231396;194,8247542
170422;16,3149;5,32065;1,875170754;163,8714708
170423;15,3671;8,25735;1,94250875;168,7681875
170424;18,8117;10,2691;1,808392204;189,3493375
170425;13,5496;8,76897;2,766895542;199,464675
170426;11,9341;8,35109;1,769760179;172,7425458
170427;18,4524;4,54366;1,68128825;108,0104688
170428;16,2543;4,43365;1,592993333;121,505825
170429;16,4812;6,77255;1,721879958;127,1439167
170430;17,4254;3,24823;1,051972583;110,4836542
170501;15;2,08;0,88829;116,2986542
