Fecha;pm25;so2;temperatura;humedad;ws;wd;radglobal;ppa
170101;13,0491;7,32729;19,6573875;62,3151125;3,801892542;202,3888667;346,6690833;756,825
170102;9,67259;3,67142;19,3096875;58,55672083;3,921335167;206,8913042;344,0501667;756,2916667
170103;18,9515;3,59394;19,46857083;55,06589583;4,90442525;215,9887917;345,1585833;755,8166667
170104;18,6234;3,44489;18,98454167;54,85609583;4,475880333;220,862875;344,3799167;753,9166667
170105;14,4262;4,89555;15,700375;73,22325833;1,832802042;203,5308;341,0021667;753,9333333
170106;8,62218;4,25531;16,03711667;78,87626667;1,674512458;187,9184167;337,335875;756,4125
170107;1,59201;4,19589;16,59479583;82,17316667;1,39365125;192,02265;306,421625;757,0916667
170108;3,76837;3,76299;17,264675;82,38043333;1,76864845;194,4854796;301,043125;756,2208333
170109;8,10023;11,6142;20,07895417;66,54790417;3,474002333;164,3024333;330,215875;756,2666667
170110;8,22447;4,44189;17,25465;73,5530125;1,998996792;204,2562708;335,3204167;756,3041667
170111;10,8177;3,81969;17,199475;73,8593125;2,037528375;200,8843417;337,271125;755,4958333
170112;12,9548;2,88508;17,524725;76,32320833;2,58990275;152,1715417;340,1549167;754,7583333
170113;9,72691;2,91508;18,93137917;72,44459583;2,14307425;213,1980917;318,8281667;754,7083333
170114;9,60289;2,54745;17,84835;69,428225;3,175421542;199,1735333;313,2559583;754,0333333
170115;11,6586;3,32423;15,73347083;76,22192083;2,0641075;223,4175875;318,8157083;755,275
170116;8,2256;2,99587;15,9214875;83,7619875;2,086824;203,7987542;273,1492083;756,7125
170117;12,6395;8,53061;20,30127917;64,84869583;1,923837417;161,219725;331,5165417;754,1666667
170118;10,7042;4,12389;17,3144375;75,63360833;2,101611042;182,5040625;321,5800833;754,3333333
170119;11,5278;4,19865;16,57933333;79,17940417;2,2941465;168,3982;304,0934583;755,4375
170120;11,3588;6,85753;17,35635;82,85547083;1,486161125;117,5953333;302,584625;754,8458333
170121;17,2434;3,89687;18,01426667;85,003725;1,160685588;168,3353496;280,7403333;755,6083333
170122;18,6126;4,84739;11,91724583;58,149575;1,297223375;216,6243025;207,2012083;757,1666667
170123;22,4096;3,79365;17,54218333;86,46586667;1,330313958;227,1593167;249,2745417;757,6375
170124;;5,21467;21,20812083;66,38654583;3,455384;197,0075;294,2289167;755,2166667
170125;22,0748;4,14609;18,82373333;75,6250875;1,659865667;195,844075;291,94075;753,6666667
170126;18,4206;2,77836;20,14045;77,3189375;1,815688;70,2444375;236,2791667;755,4
170127;26,289;17,1575;21,31050417;72,54965417;1,688465475;222,4656;290,88875;756,1125
170128;25,9893;2,70027;18,88638333;82,178025;1,320412142;214,4147417;210,528375;754,7916667
170129;27,5824;3,08699;18,44561667;82,80512917;1,471005083;271,619;220,701875;754,05
170130;21,8328;3,30745;18,72352917;80,88746667;1,488416917;227,7909625;220,24225;755,6458333
