anho;mes;dia;hora;pm25;so2;ws;wd;temperatura;humedad;radglob;ppa
2017;1;1;0;10,0644;3,43033;1,00799;208,692;15,3808;80,2083;0;757
2017;1;1;1;10,0644;3,43033;1,00799;208,692;15,3808;80,2083;0;757
2017;1;1;2;27,8367;3,35365;0,382255;145,186;14,9125;82,0665;0;756,7
2017;1;1;3;37,3419;4,54078;0,430625;101,411;14,5633;83,4249;0;756,4
2017;1;1;4;35,0917;14,5525;0,134361;251,242;14,1083;84,575;0;756,2
2017;1;1;5;31,5823;57,3237;0,528211;71,3143;13,3292;86,6166;0;756,3
2017;1;1;6;34,1111;21,8268;1,0059;46,3238;14,2792;85,7;2,197;756,8
2017;1;1;7;31,03;8,54507;0,508263;35,5057;17,1408;75,2916;31,85;757,1
2017;1;1;8;23,8602;5,4247;0,377256;344,421;18,7975;67,8032;180;757,4
2017;1;1;9;12,5918;5,93052;2,47775;288,962;18,5458;71,1608;508,3;757,6
2017;1;1;10;6,26804;4,07862;3,193;241,595;19,6133;66,4591;709,6;757,5
2017;1;1;11;4,3619;3,95985;5,96468;228,463;21,3442;65,484;699;757,6
2017;1;1;12;3,31295;3,97305;4,91632;221,983;24,0667;53,5008;935;757,8
2017;1;1;13;2,66407;3,9629;4,98259;224,959;24,5142;50,9;1040;757,7
2017;1;1;14;4,63094;3,90093;6,63368;228,048;24,0875;51,3583;1032;757,4
2017;1;1;15;4,8024;3,69395;8,96677;229,868;24,1525;48,6683;961;757,4
2017;1;1;16;5,24354;3,2563;8,92674;226,985;25,1725;41,7599;831;757,1
2017;1;1;17;4,59547;3,12995;8,05791;223,856;25,4217;39,5466;654,7;756,7
2017;1;1;18;4,18982;3,16378;7,41633;222,713;27,0683;34,2541;447,6;756,3
2017;1;1;19;5,83162;2,99917;6,50698;223,373;24,6783;35,6958;233,1;756,1
2017;1;1;20;5,92252;2,85218;5,95226;221,664;20,595;45,3174;54,06;755,9
2017;1;1;21;5,52137;2,88218;5,1111;222,473;19,0375;49,655;0,651;756
2017;1;1;22;4,89783;2,81087;3,50581;223,233;18,0491;54,6291;0;755,9
2017;1;1;23;6,71132;2,96163;3,25065;216,37;17,5383;61,2791;0;755,9
2017;1;2;0;5,75853;2,94958;2,77314;213,433;16,5917;65,2823;0;755,5
2017;1;2;1;3,36867;2,76577;2,22108;212,042;15,9042;70,1157;0;755,1
2017;1;2;2;6,07167;2,90888;2,06975;209,843;15,54;73,5665;0;754,7
2017;1;2;3;8,5504;3,59335;1,07266;185,913;14,7142;74,6166;0;754,5
2017;1;2;4;15,458;8,20804;0,960159;52,5732;14,8125;77,1832;0;754,6
2017;1;2;5;21,2755;5,62688;2,4473;50,8898;13,4825;79,9749;0;755
2017;1;2;6;19,554;3,4517;1,16359;261,398;14,6658;79,8999;1,703;755,3
2017;1;2;7;15,6818;3,28335;0,787128;40,0363;17,8916;68,4607;26,01;755,9
2017;1;2;8;12,3998;3,72893;0,825507;295,525;17,6308;72,8674;180,7;756,3
2017;1;2;9;10,7812;4,779;1,91619;268,269;17,8442;72,8749;509,9;756,7
2017;1;2;10;9,59117;3,87045;3,31421;239,581;18,1567;69,399;716,8;756,8
2017;1;2;11;8,0401;3,81563;4,4211;232,256;19,6175;63,8991;703,7;757
2017;1;2;12;7,11837;3,7661;4,80238;240,032;21,9792;55,4958;950;757,1
2017;1;2;13;5,58089;3,79202;4,40567;238,323;23,3908;47,2483;1055;757,4
2017;1;2;14;5,06752;3,67065;6,10919;224,817;24,5475;40,2108;1046;757,4
2017;1;2;15;5,92105;3,48322;7,17901;224,389;24,995;37,5308;978;757,2
2017;1;2;16;5,431;3,26007;8,02838;224,455;25,8717;34,285;840;757,2
2017;1;2;17;6,10875;3,07537;7,44895;225,876;27,23;29,2741;613,5;756,9
2017;1;2;18;6,70032;3,01688;7,63829;224,175;26,5917;31,0325;423,1;756,5
2017;1;2;19;6,4305;2,7879;6,3415;220,698;22,8183;35,5341;168,8;756,4
2017;1;2;20;7,48825;2,96875;5,69247;219,1;19,0733;43,5324;43,37;756,6
2017;1;2;21;10,4035;3,30622;4,4197;219,733;17,6333;51,8058;0,621;756,9
2017;1;2;22;13,157;2,91915;4,00756;223,373;16,5883;63,1666;0;757
2017;1;2;23;16,2043;3,08632;4,06713;218,661;15,8617;68,1049;0;757
2017;1;3;0;44,3698;3,25813;2,91275;207,278;15,4942;71,2449;0;757,1
2017;1;3;1;37,8427;3,22883;1,84807;199,817;14,7858;73,9583;0;756,8
2017;1;3;2;28,2648;2,95897;3,44449;209,724;14,2142;74,5166;0;756,4
2017;1;3;3;18,422;2,94615;3,6627;209,114;13,9392;76,9498;0;755,9
2017;1;3;4;12,4257;2,96155;3,19064;208,351;13,18;78,7416;0;755,5
2017;1;3;5;12,739;3,22925;2,13306;198,971;12,7083;82,1416;0;755,4
2017;1;3;6;21,6653;3,53788;0,744627;157,707;13,73;77,5582;1,218;755,7
2017;1;3;7;29,802;6,1378;0,471699;179,715;15,8375;70,5249;24,33;756
2017;1;3;8;30,9373;4,7001;1,22369;258,604;19,0566;54,8758;175,9;756,3
2017;1;3;9;27,6103;4,88083;2,48058;248,856;18,8692;55,4758;506,9;756,3
2017;1;3;10;25,6705;3,70982;5,55897;228,008;20,8475;53,4216;710,5;756
2017;1;3;11;20,4037;3,55282;5,93502;221,288;23,1758;44,8841;680;755,9
2017;1;3;12;11,8502;3,29277;7,2931;223,229;24,3925;40,1091;947;755,8
2017;1;3;13;6,5867;3,42175;8,9765;228,993;25;37,1249;1050;755,7
2017;1;3;14;3,01619;3,12318;9,91856;230,309;26,4258;31,9883;1048;755,5
2017;1;3;15;2,22975;;10,4105;226,432;27,3883;28,3658;978;755,4
2017;1;3;16;2,83472;3,75987;10,4115;224,555;28,2317;26,6166;846;755,4
2017;1;3;17;3,05868;3,4978;8,79041;221,538;26,6366;30,74;664,4;755,2
2017;1;3;18;5,4055;3,28152;6,59805;216,65;24,1;33,3649;440,4;755
2017;1;3;19;49,8768;3,20593;6,06484;217,384;21,1208;39,4291;172,3;755,3
2017;1;3;20;31,858;3,53862;4,95537;212,747;18,5992;50,8783;38,3;755,5
2017;1;3;21;14,3585;3,47015;3,80423;217,234;17,2975;58,2657;0,558;755,8
2017;1;3;22;7,82269;3,50168;3,50009;214,309;16,205;64,6991;0;755,9
2017;1;3;23;5,78425;3,46533;3,37676;222,918;16,01;65,7065;0;755,8
2017;1;4;0;8,89386;3,15555;3,7673;220,332;15,745;66,7549;0;755,6
2017;1;4;1;9,90717;2,8127;3,62116;215,641;14,715;70,3165;0;755,1
2017;1;4;2;9,39566;2,99132;2,33308;207,731;14,7092;70,0382;0;754,5
2017;1;4;3;12,7973;3,01907;2,41348;212,137;14,405;71,9799;0;753,9
2017;1;4;4;18,4352;3,25067;1,67563;197,922;13,5925;77,2582;0;753,5
2017;1;4;5;26,861;3,36347;0,65097;177,047;13,15;78,3333;0;753,6
2017;1;4;6;38,5913;3,75383;0,429251;245,489;13,6117;77,1998;1,443;753,8
2017;1;4;7;42,2825;5,03435;0,518857;232,014;15,8383;69,7815;32,48;754,2
2017;1;4;8;45,5146;6,42358;1,60481;230,712;17,6367;62,4491;169,7;754,6
2017;1;4;9;46,431;3,61425;3,87968;231,213;18,3408;57,4899;479;754,6
2017;1;4;10;36,1234;3,50882;5,97011;225,926;21,2242;48,1258;699,9;754,2
2017;1;4;11;21,7605;3,38975;6,72934;220,347;22,7608;42,4341;677,1;754,1
2017;1;4;12;13,1395;3,2924;9,13225;226,058;22,7258;39,9233;934;754,1
2017;1;4;13;10,9555;3,18157;9,45174;228,736;23,93;36,2883;1036;754,2
2017;1;4;14;9,12534;3,27247;9,0365;226,751;24,4333;34,8574;1029;754,1
2017;1;4;15;7,0877;3,23563;6,70687;221,29;24,2533;34,8891;965;753,9
2017;1;4;16;6,84302;3,27625;7,08324;220,978;24,635;33,7125;839;753,7
2017;1;4;17;8,32355;3,5069;7,28849;221,268;24,045;34,5308;662,4;753,3
2017;1;4;18;9,409;3,36713;6,96365;222,227;23,3958;36,2349;452;753,1
2017;1;4;19;12,6853;3,15857;6,40138;224,527;23,4758;34,6333;235;753,1
2017;1;4;20;13,4745;3,08782;5,20255;222,623;19,9;43,6633;52,51;753,2
2017;1;4;21;12,2003;2,98113;3,01835;214,101;17,715;58,4283;0,585;753,3
2017;1;4;22;12,4293;3,11795;1,51953;220,996;16,265;65,854;0;753,2
2017;1;4;23;14,2958;2,88225;2,02291;234,643;15,1258;71,3699;0;753,1
2017;1;5;0;15,859;2,79175;0,91149;209,253;14,9808;72,2083;0;753,1
2017;1;5;1;19,1425;5,96768;1,14452;34,487;14,11;75,4583;0;752,8
2017;1;5;2;22,3495;3,21943;2,31843;37,7909;13,9167;75,1416;0;752,4
2017;1;5;3;22,0147;4,8342;2,12883;38,8985;13,1667;77,2499;0,001;752,1
2017;1;5;4;26,8068;9,12418;1,50355;57,8411;13,3508;77,7416;0;751,9
2017;1;5;5;28,1707;6,18852;0,381132;61,7138;12,8175;78,9415;0;752
2017;1;5;6;26,9355;9,21257;0,270428;59,4278;13,7958;77,4332;1,221;752,2
2017;1;5;7;25,379;16,003;0,677391;56,1011;16,2658;68,1957;27,78;752,6
2017;1;5;8;21,4724;4,06197;1,60666;301,622;16,0867;71,4232;164,1;753
2017;1;5;9;18,9882;4,1146;1,7533;304,356;17,0008;69,999;487,6;753,4
2017;1;5;10;18,083;4,13477;2,31018;305,656;16,8583;67,6107;689,5;753,6
2017;1;5;11;16,187;4,0514;2,86207;276,519;18,2733;56,1699;665,5;753,9
2017;1;5;12;12,2872;4,00677;3,0954;274,204;18,8642;56,7549;915;754,4
2017;1;5;13;8,58949;3,75335;3,13485;312,358;17,4658;67,9657;1031;754,8
2017;1;5;14;5,91987;3,78152;2,8064;313,089;17,5433;67,7874;1024;755,3
2017;1;5;15;4,51877;3,69145;2,4621;296,279;17,6692;66,9258;957;755,5
2017;1;5;16;2,30157;3,65732;1,99636;278,382;17,46;68,2041;827;755,4
2017;1;5;17;2,39277;3,95757;2,15638;249,803;16,8575;71,0732;649,6;755,2
2017;1;5;18;5,07377;4,00687;2,12608;248,889;16,4733;74,1332;449,2;754,9
2017;1;5;19;8,75642;3,79813;1,91449;236,56;16,115;76,6749;239,9;755
2017;1;5;20;11,1362;3,65662;1,57376;233,878;14,8358;83,1582;54,99;755
2017;1;5;21;9,481;3,54195;2,35973;267,425;14,5258;85,9332;0,66;755
2017;1;5;22;8,19394;3,05782;1,99582;245,843;14,1392;87,2332;0;755,4
2017;1;5;23;6,18983;2,87963;0,497898;184,363;14,2367;83,9415;0;755,5
2017;1;6;0;5,50913;5,06233;1,45701;57,3087;14,1317;83,0665;0;755,5
2017;1;6;1;8,47592;3,72877;1,48055;53,4759;13,3317;85,5833;0;755,4
2017;1;6;2;12,3438;3,6536;2,29504;54,1266;12,8583;85,1166;0;755
2017;1;6;3;12,5322;4,02307;1,35741;49,3796;12,7533;86,0582;0,001;754,7
2017;1;6;4;12,2197;6,61402;1,26106;83,1407;12,7358;87,0499;0;754,8
2017;1;6;5;13,7095;7,36225;1,07145;79,5872;12,475;88,8082;0,002;755,3
2017;1;6;6;14,3712;7,76628;1,96433;54,9889;12,8742;89,3749;1,326;755,7
2017;1;6;7;14,1805;4,60347;0,593524;113,422;14,615;86,0415;33,32;756
2017;1;6;8;11,8452;4,37685;1,29691;280,745;15,635;81,7499;161,5;756,7
2017;1;6;9;7,5711;4,1657;2,34365;306,188;16,4892;77,2582;470,3;757,3
2017;1;6;10;3,24938;4,06262;2,57005;306,698;17,0233;71,7974;677,7;757,4
2017;1;6;11;25,0338;4,14837;2,55964;294,103;17,6717;69,8032;659;757,5
2017;1;6;12;23,8287;3,97383;2,84355;293,535;18,1467;68,4615;903;757,5
2017;1;6;13;2,90898;3,6194;2,70268;290,562;18,4083;68,8248;1021;757,5
2017;1;6;14;0;3,86417;2,96946;276,24;18,7033;69,3148;1021;757,2
2017;1;6;15;0;3,83787;2,59765;262,575;19,1583;66,374;957;756,9
2017;1;6;16;0,130517;3,65582;2,40236;247,341;19,0425;68,6815;826;756,8
2017;1;6;17;2,37973;3,74628;2,13088;258,979;18,6508;71,2249;644,7;756,5
2017;1;6;18;6,19981;3,64082;1,86372;252,808;18,5267;72,2999;441,4;756,3
2017;1;6;19;7,0955;3,43413;0,902174;253,299;17,9258;74,8916;228,5;756,4
2017;1;6;20;8,87103;3,27212;0,443599;246,049;16,4608;83,0916;49,96;756,6
2017;1;6;21;6,92857;3,06535;0,449485;217,76;15,9892;85,0916;0,352;756,8
2017;1;6;22;3,0769;3,04855;0,23088;91,175;15,945;86,3082;0;757
2017;1;6;23;4,4712;3,40178;0,401237;86,5554;15,3392;86,7582;0;757,1
2017;1;7;0;;;;;15,0392;88,1499;0;756,9
2017;1;7;1;;;;;14,4492;88,4916;0;756,6
2017;1;7;2;;;;;14,2017;88,8999;0;756,3
2017;1;7;3;;;;;13,88;89,2916;0;756
2017;1;7;4;;;;;13,5517;90,3165;0;756,1
2017;1;7;5;0;6,16298;0,261847;46,2608;14,2658;90,2832;0;756,5
2017;1;7;6;0;6,36827;1,51723;62,3575;14,8783;89,5166;0,523;757
2017;1;7;7;0;3,6769;0,972792;279,345;15,6408;86,9082;24,46;757,5
2017;1;7;8;0;3,6054;0,610206;250,255;15,7375;87,5166;65,17;758,1
2017;1;7;9;0;3,76255;1,49382;304,598;16,0192;85,1582;156,7;758,5
2017;1;7;10;0;3,80367;2,52463;308,507;17,1192;78,9165;420;758,6
2017;1;7;11;0;4,1944;3,02647;310,4;17,52;76,0833;649,4;758,7
2017;1;7;12;0;5,52213;3,62807;324,599;17,4958;75,5166;899;758,5
2017;1;7;13;0;4,32762;2,8023;291,869;17,8267;74,1582;1015;758,3
2017;1;7;14;0;3,9112;2,50228;277,699;18,2558;72,3082;1011;757,9
2017;1;7;15;0;4,05482;2,27355;264,352;18,5775;72,8999;944;757,5
2017;1;7;16;0;4,00148;2,14409;264,643;18,7533;73,7915;817;756,9
2017;1;7;17;0;3,76392;1,89037;265,642;19,1025;73,9916;639,6;756,3
2017;1;7;18;0;3,70408;2,07996;276,232;18,7692;77,8749;435,9;755,8
2017;1;7;19;1,14315;3,75427;2,02821;285,179;18,4425;79,2166;226,8;755,9
2017;1;7;20;4,28437;3,88958;0,582825;170,915;17,835;80,1083;49,32;756,2
2017;1;7;21;7,79887;4,0426;1,60219;73,9323;17,5425;80,2416;0,228;756,4
2017;1;7;22;9,09399;3,70963;0,579829;286,966;16,8392;85,5249;0,001;756,8
2017;1;7;23;7,92785;3,46645;0,926961;264,792;16,5325;86,9916;0,017;756,9
2017;1;8;0;5,5111;3,05818;2,9611;215,402;16,1992;87,7166;0,098;756,5
2017;1;8;1;3,13925;2,92242;3,23562;208,067;15,5283;89,2333;0,031;756,4
2017;1;8;2;2,12013;2,89777;0,950676;215,815;14,9808;90,5416;0,009;756,2
2017;1;8;3;2,03753;3,04168;0,052889;44,9669;14,6933;91,2999;0,001;755,6
2017;1;8;4;1,98383;4,0224;1,66335;64,765;14,4808;92,0082;0;755,4
2017;1;8;5;3,05959;3,58108;0,101856;350,209;13,905;93,6665;0,032;755,5
2017;1;8;6;2,8721;3,32577;0,637234;24,4579;14,0192;94,7166;0,344;755,7
2017;1;8;7;2,79822;3,57657;0,0860628;340,196;14,1892;95,2333;16,07;756,1
2017;1;8;8;2,65938;3,65965;0,842821;58,5554;14,8375;95,0999;70,79;756,5
2017;1;8;9;3,31142;3,51565;0,981186;40,3164;16,0717;91,3832;135,1;756,8
2017;1;8;10;3,0723;3,81478;1,62546;296,356;16,3816;85,1998;483,8;756,8
2017;1;8;11;3,19183;6,54465;2,4579;272,261;16,385;84,5166;732,1;756,9
2017;1;8;12;2,40627;7,45103;2,40189;266,213;17,0608;81,7083;935;756,9
2017;1;8;13;1,5642;4,36752;2,51799;256,431;16,8325;82,7749;1039;756,8
2017;1;8;14;3,16383;4,0244;2,20043;255,392;17,9225;79,7832;1034;756,8
2017;1;8;15;3,42159;3,83005;2,31954;246,77;20,1758;71,5874;969;756,5
2017;1;8;16;2,51663;3,80155;2,0811;261,356;23,2183;57,4166;592,3;756,3
2017;1;8;17;2,45973;3,70687;2,27031;249,265;23,0117;56,655;482,1;755,9
2017;1;8;18;3,49442;3,14653;3,70079;223,339;22,655;59,765;442,9;755,6
2017;1;8;19;5,59147;3,32283;3,31953;211,232;21,8608;61,7299;241,6;755,5
2017;1;8;20;6,78928;2,90285;2,56803;186,325;18,9333;74,9698;50,22;755,9
2017;1;8;21;7,4608;3,46748;1,76896;51,9254;17,805;82,8583;0,277;756,2
2017;1;8;22;7,93092;3,0751;0,893148;2,95251;16,8208;87,7166;0,09;756,2
2017;1;8;23;7,88512;3,25482;0,80969;325,083;16,3841;89,5499;0,173;756,3
2017;1;9;0;3,70108;4,65337;0,722916;74,9836;16,0942;90,3832;0,046;756,4
2017;1;9;1;4,61069;7,08555;2,17346;56,6655;15,535;90,5833;0,012;756,2
2017;1;9;2;11,0791;33,2867;1,48513;50,02;15,6533;89,2083;0,009;755,9
2017;1;9;3;15,8347;7,93052;0,949325;25,1477;15,1967;89,1082;0,004;755,6
2017;1;9;4;14,1348;8,01984;0,784452;29,4928;14,8525;90,3082;0;755,8
2017;1;9;5;15,7247;11,9265;1,43791;53,9849;14,47;90,7166;0;756,2
2017;1;9;6;17,378;7,8945;2,01761;44,9226;14,6258;91,1166;0,793;756,9
2017;1;9;7;16,2003;13,0024;0,515953;73,507;15,6175;89,4165;27,31;757,1
2017;1;9;8;13,4085;32,46;1,06142;93,2743;18,485;76,9232;61,32;757,3
2017;1;9;9;10,3805;84,0258;1,5065;273,465;20,2542;66,999;338,7;757,5
2017;1;9;10;12,3965;12,1068;1,87936;251,18;19,9892;71,4899;673,9;757,4
2017;1;9;11;12,1983;6,84262;3,45642;243,312;22,4808;64,3866;666,1;757,5
2017;1;9;12;8,10262;4,20833;5,79021;227,541;25,6158;51,6283;929;757,4
2017;1;9;13;2,45313;3,98085;6,17434;228,137;24,585;54,9066;1023;757
2017;1;9;14;0;;6,09826;229,455;23,8758;55,0975;1019;756,5
2017;1;9;15;0,700334;3,88965;6,7716;227,594;25,0317;44,9749;955;756,2
2017;1;9;16;0,647683;3,34502;6,84276;226,228;26,1742;38,8983;831;755,8
2017;1;9;17;2,37363;3,3924;6,26474;231,041;26,9892;36,5341;655,9;755,4
2017;1;9;18;4,0556;3,41523;6,50696;228,329;25,7058;37,9424;451,1;755
2017;1;9;19;5,76442;3,30735;6,14015;222,663;24,3325;41,5182;239;755
2017;1;9;20;7,95657;2,99593;5,6177;221,234;21,3392;48,8741;52,9;755,3
2017;1;9;21;6,46326;3,04393;3,7679;210,95;19,6416;52,3433;0,802;755,5
2017;1;9;22;5,22495;2,94843;2,92016;199,012;18,3791;63,2716;0,244;755,7
2017;1;9;23;3,61633;3,36492;2,49082;221,119;16,9708;70,5208;0,041;755,8
2017;1;10;0;4,15045;3,12135;2,50183;223,792;16,1783;75,7166;0;755,6
2017;1;10;1;3,23757;2,9146;2,27789;196,942;15,6225;80,6166;0;755,7
2017;1;10;2;3,93193;2,90752;1,19851;180,397;15,0958;83,3499;0;755,6
2017;1;10;3;4,82465;3,75915;0,263975;32,925;14,7767;81,6166;0;755,3
2017;1;10;4;6,60719;3,7705;0,271317;76,3136;14,4342;81,575;0;755
2017;1;10;5;9,75565;17,2026;2,60979;76,0967;14,8975;80,0416;0,001;755,1
2017;1;10;6;19,207;6,48998;1,21113;51,5761;15,59;77,825;0,374;755,3
2017;1;10;7;19,807;3,61153;0,682381;30,3561;16,3525;78,2;26,8;755,7
2017;1;10;8;10,2202;4,01517;1,60162;299,652;17,2858;76,0833;119,6;756,1
2017;1;10;9;1,53523;4,11227;2,09234;280,351;17,9367;71,6357;473;756,5
2017;1;10;10;0;4,19972;2,1292;307,094;18,7583;66,1049;680,8;756,6
2017;1;10;11;0,04845;4,26018;3,17426;297,681;18,1108;73,5366;658,6;756,7
2017;1;10;12;2,86834;4,25898;3,31685;295,311;18,12;75,9498;937;757,1
2017;1;10;13;7,1203;4,26128;2,68306;268,446;18,8225;71,2908;1015;757,4
2017;1;10;14;38,9778;4,1855;2,59005;245,786;18,525;72,9916;1010;757,4
2017;1;10;15;18,7652;4,03197;3,09793;246,833;18,635;70,3499;945;757,2
2017;1;10;16;3,35577;3,96163;3,5561;243,153;19,8458;61,6407;817;757,2
2017;1;10;17;0;3,92453;2,86076;253,878;21,2291;55,6541;642,3;756,9
2017;1;10;18;0,601067;3,6674;2,30251;247,07;18,7592;67,3448;440,3;756,5
2017;1;10;19;3,727;3,31687;2,95369;224,604;18,2625;68,2858;231,2;756,3
2017;1;10;20;7,72488;3,50085;0,954299;210,466;17,46;68,3391;50,22;756,3
2017;1;10;21;9,77162;4,07225;0,341051;153,763;16,9692;71,124;0,495;756,5
2017;1;10;22;11,0257;3,77515;1,03571;237,314;16,4692;76,4166;0;756,6
2017;1;10;23;10,1242;3,28457;2,26967;222,35;15,975;79,5833;0;756,7
2017;1;11;0;7,93929;3,23737;2,45011;218,908;15,7425;80,9415;0;756,5
2017;1;11;1;5,4473;3,24568;2,3933;213,562;15,3092;83,3499;0,002;756,3
2017;1;11;2;5,21757;3,26157;2,54614;214,906;14,9125;83,9498;0;756
2017;1;11;3;7,55703;3,06305;1,69857;195,685;14,5608;84,7333;0;755,6
2017;1;11;4;20,7657;3,18107;0,13559;32,7491;14,23;85,8499;0;755,4
2017;1;11;5;24,8532;3,14472;0,437671;36,5826;13,8375;86,9415;0;755,5
2017;1;11;6;6,47868;3,3961;0,590431;49,4895;14,655;84,1083;0,567;755,8
2017;1;11;7;0,6085;3,35783;2,52469;41,3378;16,855;74,3165;21,64;756,1
2017;1;11;8;1,3915;3,5204;3,35984;38,2792;18,3141;69,0066;115,9;756,4
2017;1;11;9;3,87615;4,10678;1,31546;286,54;17,3233;75,9583;472,9;756,5
2017;1;11;10;4,68562;6,11242;2,02991;313,209;17,6167;72,7908;676,7;756,7
2017;1;11;11;8,64937;6,09393;2,74245;303,987;18,3233;66,9783;658,4;756,7
2017;1;11;12;12,7325;6,01357;2,28384;263,725;19,0642;64,4208;959;756,7
2017;1;11;13;12,3737;4,14722;2,67103;249,057;18,6575;70,7516;1023;756,4
2017;1;11;14;10,5548;4,0837;2,63885;256,482;19,3117;70,2148;1021;755,7
2017;1;11;15;12,0655;4,16135;2,75059;275,88;19,1642;71,6373;953;755,3
2017;1;11;16;13,3325;3,937;2,6971;281,512;19,5017;65,5824;822;754,8
2017;1;11;17;12,6908;3,914;2,48389;260,666;19,9958;58,4916;647,2;754,4
2017;1;11;18;10,7581;3,88302;2,4905;242,104;20,68;53,4483;442,3;754
2017;1;11;19;4,67457;3,26393;3,10468;228,078;19,09;61,0157;228,1;754
2017;1;11;20;9,20776;2,66665;2,26855;216,377;17,9633;65,5615;52,21;754,3
2017;1;11;21;12,91;5,34828;0,503143;141,732;16,5883;77,0082;0,588;754,3
2017;1;11;22;29,4108;2,46103;1,92162;228,089;15,7375;81,9833;0;754,3
2017;1;11;23;21,4452;2,07188;0,862726;232,287;15,3533;83,5833;0;754,2
2017;1;12;0;9,31204;2,60508;0,665124;47,0182;15,5317;81,5916;0,001;753,9
2017;1;12;1;3,38015;2,17208;1,7729;41,2311;15,12;83,3583;0;753,7
2017;1;12;2;3,44797;1,79317;2,87103;35,8123;14,9525;83,7832;0;753,4
2017;1;12;3;3,44937;1,81643;3,14198;38,1969;14,4367;85,0332;0;753,2
2017;1;12;4;5,5826;1,87775;3,36186;42,6683;13,8025;86,4749;0;753,1
2017;1;12;5;8,58098;2,16843;3,58721;38,2676;13,6275;87,6332;0;753,4
2017;1;12;6;11,2485;2,02847;1,91469;77,8529;13,3767;88,7083;0,733;754
2017;1;12;7;10,9967;2,01852;2,30401;55,1795;15,6575;84,8082;31,79;754,7
2017;1;12;8;8,34045;2,08203;3,00231;42,5476;17,1292;78,7083;158,7;755,5
2017;1;12;9;7,85645;3,12212;0,900282;178,858;17,8892;75,2083;463,7;755,9
2017;1;12;10;27,682;4,3369;1,04712;183,611;18,105;74,9583;680,7;756,1
2017;1;12;11;40,8842;3,6556;2,69118;278,24;18,4967;74,0916;659,7;756,2
2017;1;12;12;31,3417;3,36643;2,23949;305,35;18,7633;73,5249;968;756,4
2017;1;12;13;21,2333;4,21103;3,15132;293,094;19,04;72,2832;1030;756,1
2017;1;12;14;17,4705;5,59507;2,70795;276,944;18,7783;74,0082;1027;755,9
2017;1;12;15;15,2172;3,06668;2,52638;273,423;18,6225;75,2916;960;755,7
2017;1;12;16;13,539;3,45887;2,42286;251,116;19,3567;71,1216;831;755,4
2017;1;12;17;13,224;3,25627;2,75509;242,694;20,1758;66,1882;650,5;755,1
2017;1;12;18;12,5627;2,42218;4,57;224,953;20,825;64,2874;437,6;754,6
2017;1;12;19;11,0353;2,01327;5,28688;224,04;21,5466;59,8774;216,7;754,3
2017;1;12;20;9,67101;2,05077;3,88257;215,293;20,2008;65,8549;47,3;754,4
2017;1;12;21;7,99451;2,47515;1,22853;184,81;18,7392;73,5624;0,292;754,4
2017;1;12;22;7,6751;3,68137;1,44861;59,1783;18,1558;76,3999;0,002;754,4
2017;1;12;23;9,19051;3,96823;2,67829;41,7383;18,2642;74,9999;0;754,4
2017;1;13;0;10,3947;2,97592;1,65236;33,563;17,9508;76,2416;0;754,2
2017;1;13;1;15,2177;3,24128;2,2045;41,3659;17,2291;80,4249;0;754,2
2017;1;13;2;17,9455;2,8338;2,20819;39,1299;16,9475;82,0582;0;754,3
2017;1;13;3;13,3703;2,64512;2,80307;40,2077;16,6417;83,5999;0,001;754,3
2017;1;13;4;11,145;3,91778;0,810411;49,2409;15,8775;86,0415;0,003;754,4
2017;1;13;5;15,359;4,37033;0,576666;274,694;15,6475;87,6915;0,002;754,6
2017;1;13;6;15,4527;3,45322;0,23053;311,584;16,1842;87,9749;0,552;754,9
2017;1;13;7;8,76537;3,08792;0,354787;357,839;19,3117;78,45;20,13;755,3
2017;1;13;8;7,92443;2,87437;0,467987;42,7768;19,1558;75,4999;114,8;755,5
2017;1;13;9;6,68964;2,71688;2,32249;313,668;17,7617;81,3499;460,1;755,6
2017;1;13;10;3,08043;2,50293;3,1862;320,628;17,4217;82,3499;447,1;755,7
2017;1;13;11;1,2476;2,42187;2,56129;304,868;17,1408;83,8583;623,3;755,9
2017;1;13;12;1,3293;2,43387;2,61731;288,45;18,1467;77,7666;847;756,1
2017;1;13;13;2,35455;2,99678;2,48018;281,472;20,1758;68,5375;941;756
2017;1;13;14;5,99823;2,9904;3,24435;264,335;22,0925;59,6849;1025;755,7
2017;1;13;15;9,82916;3,06743;2,9731;262,124;23,4517;53,0566;966;755,2
2017;1;13;16;11,4508;2,54418;3,1793;233,137;24,9058;44,3241;834;754,7
